Industry,Deal_value,Weighted_amount,Date_of_creation,Pitch,Lead_revenue,Fund_category,Geography,Location,POC_name,Designation,Hiring_candidate_role,Lead_source,Level_of_meeting,Last_lead_update,Internal_POC,Resource,Internal_rating
Beverages (Alcoholic),286448.0,1761655.2,2020-05-30,Product_2,50 - 100 Million,Category 2,USA,"Dothan, AL",Victoria Moore,SVP/General Counsel ,"Nurse, adult",Contact Email,Level 2,No track,"Cash,Tyrone J",Yes,5
Technology Retail,78797.0,508240.65,2020-04-25,Product_2,100 - 500 Million,Category 2,USA,"Baltimore-Columbia-Towson, MD",Michael Campbell,SVP/General Counsel ,General practice doctor,Contact Email,Level 3,?,"Meli,Teresa V",We have all the requirements,3
Outsourcing,181659.0,1108119.9,2020-07-22,Product_1,500 Million - 1 Billion,Category 1,USA,"Sebastian-Vero Beach, FL",Sean Kennedy,Chairman/CEO/President,Barrister's clerk,Others,Level 1,No track,"Murray,Younetta",We have all the requirements,1
Financial Services,167270.0,1020347.0,2020-01-21,Product_1,500 Million - 1 Billion,Category 1,India,Talcher,suman,Chief Executive Officer,Make,Contact Email,Level 1,Following up but lead not responding,"Knox,Antonio D",We have all the requirements,1
BioTech/Drugs,492768.0,3350822.4,2019-08-11,Product_1,100 - 500 Million,Category 2,USA,"Chico, CA",Luis Robinson,Chairman/Chief Innovation Officer,Community pharmacist,Website,Level 3,More than a week back,"Smith,Keenan H",We have all the requirements,5
Banks,305425.0,1908906.25,2019-11-26,Product_1,100 - 500 Million,Category 2,USA,"Williamsport, PA",Joseph Sullivan,CEO,Product manager,Website,Level 2,Unknown,"Gould,Lisa D",We have all the requirements,4
Financial Services,282507.0,1949298.3,2019-10-01,Product_2,100 - 500 Million,Category 4,India,Aurangabad,chotti @ madina,Chief Executive Officer,Farm manager,Website,Level 3,more than a month,"Kiepea,Prince A",We have all the requirements,3
Architecture/Engineering,196965.0,1319665.5,2019-04-29,Product_1,500 Million - 1 Billion,Category 4,USA,"Knoxville, TN",Ryan Hampton,CEO,Recruitment consultant,Contact Email,Level 2,Unknown,"Houston,Arnold E",Deliverable,3
Healthcare Facilities/Services,459513.0,2803029.3,2020-01-18,Product_2,100 - 500 Million,Category 2,India,Ranchi,kala bai,Executive Vice President,"Scientist, product/process development",Marketing Event,Level 2,Unknown,"Turner,Marlon D",Yes,4
Banks,189415.0,1099718.0023001693,2020-08-22,Product_2,500 Million - 1 Billion,Category 4,USA,"Barnstable Town, MA",Judith Smith,Chief Executive Officer,Technical author,Others,Level 3,More than 2 weeks,"Young,Valerie K",No,5
Sales/Marketing Services,399484.0,2876284.8,2020-06-04,Product_2,500 Million - 1 Billion,Category 1,USA,"Boulder, CO",Derrick Gonzalez,Executive Vice President,Probation officer,Website,Level 3,more than a month,"Pappas,Mark S",Deliverable,4
Healthcare Facilities/Services,63533.0,362138.1,2019-04-15,Product_1,100 - 500 Million,Category 1,India,Nizamabad,noni,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Teacher, music",Others,Level 1,?,"Van Arter,Derrick",Yes,1
Real Estate,43902.0,280972.8,2019-07-13,Product_2,50 - 100 Million,Category 1,India,Saidpur,dimpal,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Nurse, learning disability",Website,Level 2,More than 2 weeks,"Vickers Jr.,Henry J",Yes,5
Education/Training,453200.0,2855160.0,2020-11-08,Product_2,500 Million - 1 Billion,Category 3,India,Dibrugarh,megha,CEO/President,Customer service manager,Marketing Event,Level 2,?,"Ali,Mohamed",Yes,3
Supply Chain,175173.0,980968.8,2020-12-28,Product_2,100 - 500 Million,Category 3,India,Ramagundam,basanti devi,CEO/President,Homeopath,Others,Level 1,More than a week back,"Heidelberg,Andre D",No,3
Health/Accident,162684.0,1081848.6,2020-11-30,Product_1,500 Million - 1 Billion,Category 4,India,Indore,Rebecca Brewer,Executive Vice President,"Designer, jewellery",Others,Level 3,?,"Vickers Jr.,Henry J",Not enough,3
Professional Services,51555.0,329952.0,2019-01-09,Product_2,500 Million - 1 Billion,Category 1,India,Karimnagar,anita,CEO/Chairman/President,Brewing technologist,Contact Email,Level 2,More than a week back,"Logan,Kevin N",Not enough,4
Staffing,146394.0,914962.5,2019-02-03,Product_1,50 - 100 Million,Category 1,India,Saidpur,bharti,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Pharmacist, community",Contact Email,Level 2,More than a week back,"Thomas,Lori E",Cannot deliver,4
Banks,457633.0,2768679.65,2020-01-07,Product_2,50 - 100 Million,Category 3,USA,"Great Falls, MT",Andrew Brooks,CEO,Training and development officer,Others,Level 2,Did not hear back after Level 1,"Green,Candy",No,5
Financial Services,408134.0,2369571.0854514022,2020-03-19,Product_1,100 - 500 Million,Category 2,India,Vishakhapatnam,smt kalpana,CEO,Insurance underwriter,Others,Level 1,Unknown,"Dimattia,Frank D",We have all the requirements,5
Real Estate,156018.0,920506.2,2019-02-13,Product_1,50 - 100 Million,Category 2,USA,"Punta Gorda, FL",Gregory Shah,Chairman/CEO/President,Theatre stage manager,Website,Level 1,2 days back,"Tondeur,Keith D",We have all the requirements,3
Real Estate,216464.0,1396192.8,2020-08-26,Product_1,500 Million - 1 Billion,Category 4,USA,"Pittsburgh, PA",Briana Walters,CEO/Chairman/President,Human resources officer,Website,Level 1,More than 2 weeks,"Ali,Mohamed",Not enough,1
Banks,123170.0,800605.0,2019-05-17,Product_2,100 - 500 Million,Category 3,India,Bhiwandi,anno,CEO/President,"Engineer, electronics",Website,Level 3,Did not hear back after Level 1,"Shelton,Sidney P",Not enough,3
Insurance,321970.0,1996214.0,2020-06-14,Product_2,100 - 500 Million,Category 3,USA,"Idaho Falls, ID",Jennifer Rodriguez,Chairman/CEO/President,Patent attorney,Marketing Event,Level 1,?,"Massiah,Gerard F",No,4
Banks,184508.0,1254654.4,2019-11-19,Product_2,100 - 500 Million,Category 4,USA,"Indianapolis-Carmel-Anderson, IN",Sherri Johnson,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Optometrist,Marketing Event,Level 1,No track,"Carter Sr,Clifton E",No,5
Materials/Manufacturing,10956.0,65736.0,2020-05-28,Product_2,100 - 500 Million,Category 3,India,Ludhiana,sheetal,Executive Vice President,"Scientist, product/process development",Marketing Event,Level 2,Following up but lead not responding,"McKenstry,Loretta A",Cannot deliver,3
Materials/Manufacturing,232104.0,1347564.592064401,2019-05-23,Product_2,50 - 100 Million,Category 1,India,Amaravati,neelam,CEO/President,Catering manager,Others,Level 1,Up-to-date,"Thomas,Lori E",We have all the requirements,2
Banks,9897.0,57402.6,2019-12-16,Product_1,50 - 100 Million,Category 1,India,Alwar,pooja @ neha,Chairman/Chief Innovation Officer,"Therapist, occupational",Website,Level 1,5 days back,"Jones,Eyvette W",We have all the requirements,1
Insurance,56199.0,314714.4,2020-06-07,Product_2,100 - 500 Million,Category 2,USA,"Pittsburgh, PA",Marcus Smith,Executive Vice President,Quantity surveyor,Contact Email,Level 1,Up-to-date,"Georgakopoulos,Vasilios T",We have all the requirements,2
Information Services,377301.0,2659972.05,2020-10-11,Product_2,500 Million - 1 Billion,Category 4,USA,"Jonesboro, AR",Lisa Rose,SVP/General Counsel ,Oncologist,Marketing Event,Level 3,5 days back,"Pappas,Mark S",Cannot deliver,1
Rentals/Leasing,409698.0,2560612.5,2020-02-29,Product_1,500 Million - 1 Billion,Category 4,India,Belgaum,bhagwati@shinnu,Executive Vice President,Press sub,Website,Level 1,Up-to-date,"McKenstry,Loretta A",Deliverable,2
Investment Bank/Brokerage,128929.0,857377.85,2019-06-15,Product_2,500 Million - 1 Billion,Category 3,USA,"Coeur d'Alene, ID",Michele Alexander,SVP/General Counsel ,Estate manager/land agent,Website,Level 2,Unknown,"Shelton,Sidney P",Not enough,5
Aerospace/Defense,49249.0,288106.65,2020-05-11,Product_1,50 - 100 Million,Category 3,USA,"Erie, PA",Tiffany Cole,CEO/President,Armed forces technical officer,Marketing Event,Level 2,Pending,"Salyers,Daniel L",Deliverable,2
Entertainment/Media,95591.0,520970.95,2020-11-21,Product_2,50 - 100 Million,Category 3,India,Bhavnagar,meena,CEO,Metallurgist,Others,Level 1,More than 2 weeks,"Massiah,Gerard F",Deliverable,3
Financial Services,314092.0,1743210.6,2020-10-26,Product_1,50 - 100 Million,Category 2,India,Kolar,sunita,Executive Vice President,Broadcast engineer,Others,Level 2,More than 2 weeks,"Knox,Antonio D",Deliverable,3
ERP,226956.0,1327692.6,2021-02-09,Product_2,50 - 100 Million,Category 4,India,Brajrajnagar,jinat,CEO/Chairman/President,Radiation protection practitioner,Others,Level 2,No track,"Houston,Arnold E",We have all the requirements,1
Telecom Services/Telephone Companies,419525.0,2538126.25,2019-07-08,Product_1,100 - 500 Million,Category 2,India,Bakshpur,sunita,Executive Vice President,Furniture conservator/restorer,Others,Level 3,No track,"Green,Candy",Yes,4
Construction Services,413464.0,2832228.4,2020-07-29,Product_1,50 - 100 Million,Category 1,USA,"Chattanooga, TN-GA",Amy Martinez,CEO/Chairman/President,"Designer, textile",Marketing Event,Level 2,2 days back,"Rocks,Michael J",Cannot deliver,5
Construction Services,440581.0,2577398.85,2020-06-17,Product_1,50 - 100 Million,Category 3,USA,"Jefferson City, MO",David Sanders,Chief Executive Officer,"Therapist, occupational",Marketing Event,Level 1,No track,"Dimattia,Frank D",Cannot deliver,1
Banks,342562.0,1918347.2,2019-12-21,Product_1,100 - 500 Million,Category 3,USA,"Fargo, ND-MN",Diana Rivers,SVP/General Counsel ,Press photographer,Others,Level 1,Unknown,"Salyers,Daniel L",We have all the requirements,1
Education/Training,361303.0,2348469.5,2019-07-29,Product_2,500 Million - 1 Billion,Category 1,USA,"Huntington-Ashland, WV-KY-OH",Brandi Young,CEO/Co-Founder/Chairman,Armed forces training and education officer,Others,Level 2,2 days back,"Maine,John P",Deliverable,4
Fabricated Products,375719.0,2197956.15,2019-04-13,Product_2,50 - 100 Million,Category 1,India,Aurangabad,durga,CEO,Estate manager/land agent,Others,Level 2,Did not hear back after Level 1,"Morsy,Omar A",Not enough,1
Social Services,249666.0,1522962.6,2020-12-05,Product_1,500 Million - 1 Billion,Category 4,India,Amaravati,diksha or beby,SVP/General Counsel ,"Engineer, drilling",Others,Level 2,Up-to-date,"Ryker,David",Deliverable,2
Services,30196.0,194764.2,2020-11-09,Product_2,500 Million - 1 Billion,Category 1,USA,"El Paso, TX",Laura Myers,CEO/Chairman/President,Chief Executive Officer,Others,Level 3,2 days back,"Moran,Natalie A",Cannot deliver,1
Hospitals/Clinics,58813.0,346996.7,2019-08-13,Product_1,100 - 500 Million,Category 3,USA,"Waterloo-Cedar Falls, IA",Matthew Salinas,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Software engineer,Others,Level 1,Pending,"Hameier,Kurt E",Not enough,5
Banks,381092.0,2305606.6,2019-04-20,Product_2,100 - 500 Million,Category 2,USA,"Tulsa, OK",Donald Drake,Chairman/CEO/President,"Designer, jewellery",Others,Level 3,Up-to-date,"Hanyok,John J",We have all the requirements,2
Non-Profit,298115.0,1922841.75,2019-04-15,Product_2,50 - 100 Million,Category 1,USA,"Columbia, SC",Francisco Bailey,CEO/Chairman/President,Cabin crew,Marketing Event,Level 1,more than a month,"Georgakopoulos,Vasilios T",Deliverable,4
REIT,436888.0,3014527.2,2020-04-26,Product_1,100 - 500 Million,Category 1,USA,"New Bern, NC",Tammy Kane,Chairman/CEO/President,Pathologist,Website,Level 3,No track,"Ullrich,Rose Anne",Deliverable,1
Financial Services,492920.0,2908228.0,2020-10-24,Product_2,50 - 100 Million,Category 2,USA,"Goldsboro, NC",Loretta West,Chairman/CEO/President,Commercial art gallery manager,Others,Level 3,more than a month,"Dimattia,Frank D",Deliverable,1
Professional Services,233291.0,1399746.0,2021-02-07,Product_2,100 - 500 Million,Category 1,USA,"Hanford-Corcoran, CA",Christina Moreno,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Producer, radio",Others,Level 1,?,"Irizarry,Yolanda",We have all the requirements,1
Real Estate,158683.0,920361.4,2020-11-08,Product_1,100 - 500 Million,Category 3,India,Kota,muskan,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Farm manager,Others,Level 2,More than 2 weeks,"Sutton,Michelle R",Deliverable,3
Banks,235090.0,1669139.0,2019-05-03,Product_2,100 - 500 Million,Category 4,India,Ghaziabad,mansi,Chairman/Chief Innovation Officer,"Surveyor, insurance",Website,Level 3,?,"Featherstone,Adrian R",Not enough,5
Banks,406772.0,2542325.0,2019-02-07,Product_1,100 - 500 Million,Category 2,USA,"Morristown, TN",Regina Bennett,CEO/President,"Horticulturist, amenity",Website,Level 1,No track,"Pappas,Mark S",Deliverable,5
MSPs (Mgmt),456646.0,3082360.5,2019-04-21,Product_1,50 - 100 Million,Category 4,USA,"Lincoln, NE",Brett Obrien,CEO,Community pharmacist,Website,Level 3,Pending,"Hanyok,John J",Cannot deliver,2
Wood/Paper,16180.0,97889.0,2021-02-06,Product_2,50 - 100 Million,Category 3,India,Calicut,rajia,CEO/Chairman/President,Private music teacher,Marketing Event,Level 2,more than a month,"Kiepea,Prince A",No,5
"Oil, Gas, Coal",64748.0,411149.8,2019-04-16,Product_1,50 - 100 Million,Category 1,USA,"Greenville, NC",Mr. Jacob Hughes,Chairman/CEO/President,Secretary/administrator,Contact Email,Level 2,Unknown,"Turner,Marlon D",We have all the requirements,3
Internet Software,57514.0,362338.2,2019-08-21,Product_1,50 - 100 Million,Category 3,USA,"Tulsa, OK",Dana Ross,Chief Executive Officer,Hospital doctor,Website,Level 2,?,"Clavey,Therese A",Yes,5
Banks,211388.0,1321175.0,2020-06-16,Product_2,100 - 500 Million,Category 2,USA,"Daphne-Fairhope-Foley, AL",Shannon Patterson,Chairman/Chief Innovation Officer,Energy engineer,Contact Email,Level 3,2 days back,"Kiepea,Prince A",Yes,1
Banks,283101.0,1896776.7,2020-08-07,Product_2,500 Million - 1 Billion,Category 1,India,Samlaipadar,लक्ष्‍मी,Chairman/Chief Innovation Officer,Commercial/residential surveyor,Marketing Event,Level 2,More than a week back,"Massiah,Gerard F",Deliverable,3
Real Estate,392613.0,2571615.15,2019-06-24,Product_1,500 Million - 1 Billion,Category 2,USA,"Dover, DE",Angela Jordan,CEO,Public relations account executive,Contact Email,Level 3,Pending,"Logan,Kevin N",Not enough,4
Banks,493746.0,2987163.3,2020-01-04,Product_2,50 - 100 Million,Category 4,India,Mumbai,sangita,Chief Executive Officer,Chartered certified accountant,Contact Email,Level 2,No track,"Houston,Arnold E",Yes,2
Banks,329185.0,1826976.75,2019-06-12,Product_1,50 - 100 Million,Category 2,India,Samlaipadar,kiran,CEO/Chairman/President,Astronomer,Contact Email,Level 1,No track,"Jones,Eyvette W",Yes,3
Semiconductors,95685.0,555534.2346175947,2020-09-04,Product_2,500 Million - 1 Billion,Category 2,India,Aizawl  ,jhoti,Executive Vice President,Publishing copy,Website,Level 3,Up-to-date,"Murray,Younetta",Deliverable,4
Financial Services,54966.0,310557.9,2020-05-05,Product_2,50 - 100 Million,Category 2,India,Nasik,divya,Vice President / GM (04-present) : VP Sales and Marketing (01-04),"Runner, broadcasting/film/video",Contact Email,Level 2,2 days back,"Massiah,Gerard F",Deliverable,4
Banks,156055.0,889513.5,2020-06-13,Product_2,50 - 100 Million,Category 2,USA,"Laredo, TX",Taylor Maxwell,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Sports therapist,Website,Level 1,?,"Featherstone,Adrian R",No,1
Construction Services,20683.0,141678.55,2019-09-23,Product_1,500 Million - 1 Billion,Category 1,USA,"Bloomington, IN",Miguel Brady,Chairman/CEO/President,"Geologist, wellsite",Marketing Event,Level 3,Up-to-date,"Hameier,Kurt E",Yes,1
Service Providers,201401.0,1169307.1054629064,2020-07-09,Product_2,500 Million - 1 Billion,Category 1,India,Brajrajnagar,bharti kumari,Executive Vice President,Forest/woodland manager,Others,Level 1,More than 2 weeks,"Kiepea,Prince A",Cannot deliver,1
Industrial Equip,253269.0,1544940.9,2019-10-08,Product_1,500 Million - 1 Billion,Category 3,USA,"Santa Rosa, CA",Tiffany Flowers,CEO/Chairman/President,Environmental education officer,Others,Level 2,more than a month,"Dimattia,Frank D",Not enough,4
Electronics,291077.0,1615477.35,2021-01-02,Product_2,50 - 100 Million,Category 2,USA,"Jacksonville, FL",James Chase,CEO/Chairman/President,Chartered legal executive (England and Wales),Contact Email,Level 1,Following up but lead not responding,"Sutton,Michelle R",We have all the requirements,2
Banks,47367.0,314990.55,2019-02-18,Product_2,500 Million - 1 Billion,Category 1,USA,"Gainesville, FL",Kevin Frye,CEO/Co-Founder/Chairman,Broadcast journalist,Website,Level 2,5 days back,"Bannister,Joan",No,3
Catalog/MailOrder,378479.0,2516885.35,2021-02-06,Product_2,500 Million - 1 Billion,Category 4,India,Bhilai,renu,CEO,"Accountant, chartered management",Contact Email,Level 3,Pending,"Bannister,Joan",Deliverable,2
Education/Training,100920.0,575244.0,2020-01-30,Product_1,100 - 500 Million,Category 2,India,Tirunelveli,pooja,CEO/President,Medical illustrator,Marketing Event,Level 1,Did not hear back after Level 1,"Gaskins Jr,Franklin D",Yes,1
Construction Services,253943.0,1726812.4,2020-09-28,Product_1,50 - 100 Million,Category 1,USA,"Tuscaloosa, AL",Anthony Flores,Chairman/Chief Innovation Officer,"Engineer, manufacturing",Contact Email,Level 3,2 days back,"Ullrich,Rose Anne",Cannot deliver,3
Software,357089.0,2321078.5,2019-05-29,Product_1,500 Million - 1 Billion,Category 4,India,Akola,pooja,CEO,Museum/gallery exhibitions officer,Contact Email,Level 2,2 days back,"Gould,Lisa D",Deliverable,4
Financial Services,111091.0,755418.8,2019-08-23,Product_2,50 - 100 Million,Category 4,USA,"Huntington-Ashland, WV-KY-OH",Erik Rodriguez,Vice President / GM (04-present) : VP Sales and Marketing (01-04),Clinical psychologist,Marketing Event,Level 3,?,"Thomas,Lori E",No,1
Technology Consulting,484309.0,3148008.5,2019-05-31,Product_1,500 Million - 1 Billion,Category 4,India,Bellary,rimjhim,Executive Vice President,"Runner, broadcasting/film/video",Marketing Event,Level 1,Unknown,"Charles,Caleb",Not enough,3
Materials/Manufacturing,181733.0,1208524.45,2020-06-12,Product_2,500 Million - 1 Billion,Category 1,India,Raurkela,sarmila devi,Chief Executive Officer,Water engineer,Website,Level 1,2 days back,"Pappas,Mark S",No,5
Casinos/Gaming,290771.0,1860934.4,2019-06-13,Product_2,50 - 100 Million,Category 4,USA,"Sierra Vista-Douglas, AZ",Timothy Fitzpatrick,Chief Executive Officer,Legal secretary,Website,Level 2,5 days back,"McKenstry,Loretta A",Deliverable,1
Banks,454281.0,2748400.05,2019-12-01,Product_2,500 Million - 1 Billion,Category 3,USA,"Weirton-Steubenville, WV-OH",Mr. James Wood,Executive Vice President,Sport and exercise psychologist,Website,Level 1,5 days back,"Hebron,Artenia D",We have all the requirements,2
